Field=#~Integer~#~50|Field=Designator~String~Designator~138|Field=Value~String~Value~69|Field=Manufacturer PN~String~Manufacturer PN~377|Field=Description~String~Description~778|Field=Footprint~String~Footprint~100|Field=Manufacturer~String~Manufacturer~100|Field=Supplier~String~Supplier~100|Field=Supplier P/N~String~Supplier P/N~100|Field=Supplier PN~String~Supplier PN~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~FlexEMG_v0r0.PrjPcb|ReportField=ProjectFullPath~P:\fred\OMNI\PCB designs\Flex-EMG\Altium\FlexEMG_v0r0.PrjPcb|ReportField=Title~Bill of Materials For Project [FlexEMG_v0r0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~202|ReportField=ReportTime~5:48:45 AM|ReportField=ReportDate~9/6/2017|ReportField=ReportDateTime~9/6/2017 5:48:45 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/6/2017|ReportField=CurrentTime~5:48:43 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~P:\fred\OMNI\PCB designs\Flex-EMG\Altium\FlexEMG_v0r0_ACCEL.SchDoc|ReportField=DocumentName~FlexEMG_v0r0_ACCEL.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~7/12/2017|ReportField=Organization~|ReportField=ProjectName~FlexEMG_v0r0.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~FlexEMG_v0r0.PrjPcb|ReportField=DataSourceFullPath~P:\fred\OMNI\PCB designs\Flex-EMG\Altium\FlexEMG_v0r0.PrjPcb|ReportField=PCBDataSourceFileName~FlexEMG_v0r0.PcbDoc|ReportField=PCBDataSourceFullPath~P:\fred\OMNI\PCB designs\Flex-EMG\Altium\FlexEMG_v0r0.PcbDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|ANT1||ANT-2.45-CHP-T|ANT 2.4GHZ 802.11 BLUETOOTH SMD|ANTENNACHIP|Linx|Digikey||ANT-2.45-CHPCT-ND
2|BAL1||2450BM08B0003T|BALUN 2.4GHZ|BALUN_PACKAGE|Johnson|Digikey||712-1582-1-ND
3|C11, C12, C13, C14, C20, Cb31, CbA1, Ce3, Cs1, Cs3, Cs5, Cs7|4.7uF|GRM188R6YA475KE15D|CAP CER 4.7UF 35V X5R 0603|c0603-Murata-GR|Murata|Digikey||490-7205-1-ND
4|C15, C16, C17, C19, Cb1, Cb2, Cb3, Cb4, Cb5, Cb6, Cb7, Cb8, Cb9, Cb10, Cb11, Cb12, Cb60, Cd2|100nF|GRM033R6YA104KE14D|CAP CER 0.1UF 16V X7S 0201|c0201-Murata-GR|Murata|Digikey||490-10430-1-ND
5|C18, CbA0, Cd1, Cn2, Cn4, Cs2, Cs4, Cs6, Cs8|10uF|GRM188R61E106MA73D|CAP CER 10UF 25V X5R 0603 20%|c0603-Murata-GR|Murata|Digikey||490-7202-1-ND
6|C32, C34, C56, C58, C78, C80, Ca1, Ca4, Cb20, Cb21, Cb22, Cb23, Cb24, Cb25, Cb26, Cb27, Cb28, Cb40, Cb41, Cb42, Cb43, Cb44, Cb45, Cb46, Cb47, Cb70, Cb71, Cb72, Cb73, Cb90, Cb91, Cb92, Cb93, Cb94, Cb95, Cb96, Cb97, Cn9, CnA, Cr3, Cr4, Cr5|100nF|GRM155R61H104KE19D|CAP CER 0.1UF 50V X5R 0402|c0402-Murata-GR|Murata|Digikey||490-11917-1-ND
7|C33, C57, C79, Cb30, Cb50, Cb80, CbB0|22uF|GRM187R61A226ME15D|CAP CER 22UF 10V X5R 0603|c0603-Murata-GR|Murata|Digikey||490-13243-1-ND
8|Ca2, Cc3|10nF|GRM033R61E103KA12D|CAP CER 10000PF 25V X5R 0201|c0201-Murata-GR|Murata|Digikey||490-7194-1-ND
9|Ca3, Cr8|2.2nF|GRM155R71H222JA01J|CAP CER 2200PF 50V X7R 0402|c0402-Murata-GR|Murata|Digikey||490-6359-1-ND
10|Cc1, Cc2, Cr1, Cr2|12pF|GRM1555C1H120FA01D|CAP CER 12PF 50V NP0 0402|c0402-Murata-GR|Murata|Digikey||490-6196-1-ND
11|Cd3, Cd4, Cd5, Cd6|100nF|CGA2B3X7R1H104K050BB|CAP CER 0.1UF 50V X7R 0402|c0402-TDK-C|TDK|Digikey||445-6899-1-ND
12|Ce1, Ce2|1uF|C1005X5R1C105M050BC|CAP CER 1UF 16V X5R 0402|c0402-TDK-C|TDK|Digikey||445-9073-1-ND
13|Ce4, Cr6|1nF|GRM155R61H102KA01D|CAP CER 1000PF 50V X5R 0402|c0402-Murata-GR|Murata|Digikey||490-6316-1-ND
